Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500,176.56,0.0,176.56,176.56
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800,176.86,0.001691430878621114,176.71,176.71
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600,174.63,-0.012614184994357625,176.01666666666665,176.01666666666665
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100,170.44,-0.023991861336551623,174.6225,174.6225
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200,168.57,-0.010976402708205546,173.41199999999998,173.41199999999998
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300,168.74,0.0009901836134795783,172.63333333333333,172.63333333333333
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500,170.1,0.008068176320502607,172.27142857142857,172.27142857142857
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900,165.86,-0.024940332480354988,171.47,171.47
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600,168.58,0.01641691616263774,171.1488888888889,171.1488888888889
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400,164.96,-0.021466368743158326,170.53,170.53
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400,165.18,0.0013310683280201019,170.04363636363635,170.04363636363635
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800,163.06,-0.01281512537118068,169.46166666666667,169.46166666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900,163.98,0.0056021001395401004,169.04,169.04
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600,167.34,0.020515344913340616,168.91857142857143,168.91857142857143
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700,164.81,-0.01511663182381906,168.07928571428573,168.64466666666667
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800,167.06,0.013643081399552726,167.37928571428571,168.545625
2016-01-27,2016,1,27,Wednesday,04,2016-04,189.58,191.56,187.06,188.13,185681700,165.24,-0.010883286649357005,166.70857142857145,168.35117647058826
